digital;370;310;243
ensino;452;33;57
pesquisa;162;119;305
tecnologia;335;115;89
educação;326;61;72
social;121;229;71
artigo;92;168;178
estudo;112;89;189
informação;86;94;181
processo;218;69;62
aprendizagem;265;13;23
uso;200;72;61
forma;138;114;86
aluno;262;9;14
novo;120;136;65
professor;253;6;30
prático;188;69;60
matemática;166;11;36
história;71;100;105
meio;84;105;113
objectivo;137;106;79
apresentar;84;94;110
conhecimento;125;77;71
análise;43;70;148
utilizar;83;58;134
partir;29;140;95
dado;13;63;144
ciência;52;44;140
contexto;151;71;43
humanidades_digitais;7;45;180
relação;84;96;49
analisar;91;97;57
resultado;99;63;77
presente;52;104;77
texto;46;54;55
desafio;179;25;29
realizar;61;35;114
desenvolvimento;92;63;53
produção;47;62;63
formação;158;28;14
científico;13;55;116
brasil;47;59;84
campo;31;62;94
também;66;84;39
humanidade;32;126;38
aula;148;9;6
histórico;9;95;62
público;51;70;57
jogo;83;49;28
assim;50;81;46
abordagem;93;36;54
escola;128;27;31
pessoa;61;77;12
sociedade;61;106;19
tecnológico;114;44;22
recurso;126;22;19
metodologia;56;17;98
além;57;70;45
humano;34;103;19
direito;23;103;12
educacional;136;15;13
ferramenta;88;44;39
bibliográfico;33;5;112
teórico;19;59;74
necessidade;119;32;11
brasileiro;24;83;62
docente;126;8;6
comunicação;69;54;37
importância;102;42;15
conceito;32;75;42
grande;75;40;33
bem;53;57;31
reflexão;61;48;25
vida;57;60;14
estudante;104;11;19
busca;36;44;69
conteúdo;60;28;61
base;20;35;90
área;39;22;82
trazer;54;27;32
compreender;48;62;31
representação;36;55;19
autor;41;45;43
através;32;36;51
ano;38;45;50
tornar;78;35;14
acesso;49;38;55
abordar;46;51;51
tema;31;50;61
perspectiva;45;49;37
rede;17;79;33
pedagógico;119;5;13
destacar;88;25;19
mostrar;67;25;27
ambiente;77;34;20
projeto;26;33;65
diverso;29;56;48
remoto;102;7;14
experiência;52;52;25
universidade;27;12;85
possível;55;48;27
mundo;50;42;15
buscar;53;57;30
sentido;42;55;32
diferente;28;58;37
questão;37;53;34
pandemia;73;30;14
considerar;33;61;27
qualitativo;24;7;75
contribuir;79;33;20
principal;39;39;38
método;12;23;75
atividade;60;26;25
geral;52;43;30
mesmo;30;61;14
cultural;9;63;30
papel;57;43;14
disciplina;54;20;18
possibilidade;38;58;15
desenvolver;36;18;51
construção;22;64;20
transformação;71;32;11
obra;30;53;20
discutir;34;48;34
plataforma;45;30;38
fundamental;65;34;13
identificar;23;31;48
ação;38;34;24
problema;40;46;18
modo;35;55;18
acadêmico;25;24;55
mudança;58;34;7
importante;55;42;11
ainda;33;59;16
promover;78;12;10
nacional;45;14;47
aspecto;32;51;18
tratar;25;30;35
leitura;37;20;31
instituição;42;25;31
estratégia;70;20;15
discussão;24;38;34
tender;36;30;25
cultura;19;61;23
proposta;20;25;35
mídia;20;53;19
investigação;12;24;58
saúde;42;27;17
espaço;27;60;7
contribuição;50;26;19
documento;0;21;58
crítica;30;42;19
vez;25;52;19
revisão;16;12;68
grupo;7;39;44
escolar;45;12;12
modelo;21;24;44
diante;72;15;10
dever;25;24;15
internet;34;40;10
produzir;23;43;26
permitir;28;39;27
literatura;19;14;58
muito;33;33;18
inserir;15;19;20
sistema;20;45;21
já;23;29;25
covid;52;20;12
profissional;66;16;8
objetivo;47;6;31
político;37;36;17
língua;36;10;30
criar;40;38;12
arquivo;3;11;57
virtual;23;37;23
vir;47;18;18
palavra;9;36;40
livro;49;13;26
ideia;37;44;5
fonte;10;20;57
explorar;44;17;20
dificuldade;65;6;11
dentro;32;25;22
vista;19;27;10
inclusão;64;12;3
impacto;47;26;10
específico;42;19;26
teoria;26;30;25
realidade;34;30;11
sala;75;1;3
investigar;48;21;10
futuro;46;21;11
concluir;22;32;31
caso;21;32;23
respeito;45;24;13
maior;28;30;20
dia;34;12;8
construir;24;35;18
comunidade;22;36;23
melhor;42;17;8
encontrar;37;25;18
apenas;20;41;3
utilização;34;14;21
observar;32;30;16
longo;34;26;11
atual;26;38;11
material;14;17;31
país;12;31;31
levar;36;33;7
evidenciar;35;27;14
cotidiano;20;32;8
qualidade;56;9;10
metodológico;7;16;53
chave;8;27;40
período;43;17;13
passar;25;44;4
memória;0;44;20
federal;20;10;39
essencial;53;4;10
dar;14;45;15
silva;6;0;4
contemporâneo;35;25;12
aplicação;23;16;29
século;25;43;2
médio;40;6;16
debate;22;38;8
até;12;43;9
textual;14;5;18
pesquisador;6;7;53
envolver;22;22;28
década;29;13;21
principalmente;29;17;17
necessário;29;25;14
enfrentar;58;11;2
temática;12;26;32
online;36;12;15
habilidade;35;5;4
físico;28;25;13
entender;30;33;7
possuir;6;28;24
interação;25;33;9
maneira;24;27;9
relevante;21;8;21
propor;14;28;24
perfil;38;10;9
momento;24;36;5
eletrônico;31;7;23
condição;22;20;15
ativo;50;9;8
refletir;21;33;10
evolução;25;19;13
corpus;0;5;30
termo;14;28;20
santo;8;8;13
quando;22;34;7
potencial;35;16;13
objeto;16;13;34
jovem;25;12;3
âmbito;24;17;21
significativo;28;21;7
didático;47;3;12
representar;13;36;13
natureza;8;26;29
integração;51;7;2
inovação;37;10;13
demonstrar;18;27;17
cenário;21;32;9
programa;20;7;29
imagem;0;40;13
característica;3;35;21
aprendizado;32;6;8
fornecer;34;11;16
exploratório;2;2;46
visar;17;29;13
resumo;9;15;34
relacionado;13;20;25
pó;9;15;32
oportunidade;32;12;5
elemento;9;26;23
gestão;17;18;18
criação;12;29;18
causar;32;15;4
usuário;14;34;9
tdics;29;1;2
surgir;33;11;5
publicação;1;9;45
política;15;33;8
museu;1;24;25
interesse;29;17;3
gerar;21;19;15
discurso;3;34;17
criança;33;5;3
arte;4;29;20
revista;2;2;45
próprio;5;44;8
educador;47;0;8
contar;6;22;11
acervo;2;16;36
técnica;5;12;32
oferecer;28;14;12
curso;31;6;16
paulo;8;15;25
mulher;1;31;14
escrita;6;8;24
eficaz;43;4;6
precisar;18;17;10
movimento;10;30;10
jurídico;3;22;16
concepção;18;25;10
compreensão;26;17;9
avanço;29;21;4
possibilitar;12;26;14
pensar;9;35;8
organização;7;26;20
negativo;39;5;0
facilitar;20;5;11
eja;5;7;0
autoria;12;0;9
publicar;10;8;30
patrimônio;0;22;23
incluir;25;11;16
escrever;2;17;1
documental;1;3;32
cidade;6;37;6
ampliar;32;11;5
pretender;9;32;9
preservação;3;17;25
desenvolvido;15;13;18
conjunto;16;16;18
básico;38;7;6
literário;11;19;14
consideração;20;20;10
aprender;30;1;2
português;9;6;22
nativo;30;2;1
econômico;21;24;3
constante;31;7;1
biblioteca;3;10;25
aberto;15;0;26
verificar;17;12;15
síndroma;14;0;1
relato;13;8;18
inovador;42;4;2
indivíduo;18;23;7
hoje;11;28;8
computacional;0;12;28
caráter;11;7;29
adaptação;27;6;7
web;4;6;27
seguir;9;9;13
relacionar;8;32;7
positivo;34;4;1
pensamento;6;37;2
participação;16;26;3
linguístico;4;3;28
linguagem;4;17;12
integrar;24;5;18
global;14;27;3
exemplo;13;20;12
especialmente;24;14;8
efeito;25;14;7
diálogo;16;18;13
comum;8;20;19
atender;32;6;9
periódico;0;1;44
música;25;8;12
levantamento;2;1;32
internacional;5;14;23
inicial;35;4;6
gênero;4;23;15
foco;21;9;16
coleta;3;5;28
cinema;1;19;12
visão;10;13;21
sujeito;25;14;1
educativo;34;8;3
discente;41;3;0
descritivo;1;4;31
crítico;7;24;14
agente;18;14;5
tratamento;15;6;22
questionário;14;2;12
expor;13;27;3
coletivo;8;17;19
centro;16;10;17
viver;4;34;4
função;14;27;2
educandos;14;3;1
descrever;10;5;28
compor;2;10;23
capítulo;10;4;3
aplicar;19;8;15
região;4;25;12
referência;4;10;20
realização;10;8;15
informacional;5;18;16
devido;13;26;3
celular;26;0;0
superior;20;0;13
line;31;4;5
implementação;27;5;7
fato;8;26;5
estrutura;3;26;11
estabelecer;9;25;6
especificamente;14;9;18
entanto;13;22;5
benefício;24;6;4
atuação;12;20;8
software;16;4;18
selecionar;3;5;23
relevância;12;8;19
on;31;4;5
instrumento;10;14;8
formato;18;7;9
falar;9;18;4
ensinar;29;2;1
divulgação;4;17;18
conclusão;21;9;10
capaz;15;14;3
tradicional;14;13;12
melhorar;31;4;2
indicar;22;7;8
inclusivo;28;1;2
final;9;20;10
ferramentas_digitais;26;4;7
envolvido;21;8;9
ensaio;0;24;14
breve;5;12;22
autista;15;0;0
adotar;14;3;22
violência;5;30;1
tomar;6;22;9
rodrigues;3;0;3
procurar;13;11;5
narrativo;1;25;9
infantil;17;2;2
graduação;9;1;26
garantir;24;8;5
espectro;20;1;1
entrevista;7;4;27
elaborar;15;7;16
constatar;6;21;2
computação;8;6;20
categoria;9;24;3
bom;26;7;4
amplo;12;14;12
transformar;26;8;1
responder;11;12;11
proposto;13;8;16
percepção;21;10;6
olhar;13;11;5
nível;12;9;16
letramento;24;9;2
isolamento;25;4;0
inglês;15;6;13
falta;24;9;1
disponível;16;8;12
dimensão;10;17;10
barro;2;3;0
aplicativo;30;2;5
tic;31;3;2
ponto;6;13;15
perceber;14;17;5
pai;21;3;4
lugar;3;21;4
francisco;0;3;1
acontecer;27;0;1
trindade;0;1;2
situação;17;16;2
revelar;10;12;13
proporcionar;20;11;4
princípio;5;16;11
população;13;21;1
existir;5;17;4
estimular;6;8;4
curricular;10;3;12
constituição;2;23;8
centrar;13;16;5
avaliar;18;4;9
auxiliar;13;14;8
servir;19;11;4
repositório;3;2;27
produto;3;15;14
ocorrer;3;20;11
número;3;21;9
nascimento;2;3;2
melhoria;21;1;3
fator;18;11;5
cunho;3;1;14
contínuo;19;8;6
conectar;9;17;0
conceitual;0;4;30
colocar;14;15;4
civil;1;31;2
assunto;4;19;11
ambiental;17;8;4
sul;1;13;11
souza;1;3;4
presencial;24;5;3
obter;4;22;4
institucional;3;17;13
identificação;1;6;24
google;2;3;18
enfatizar;26;4;2
down;8;1;0
conhecer;18;9;6
compartilhar;5;18;10
aqui;1;19;10
adulto;3;4;2
vivência;15;3;5
tea;16;0;0
rock;32;0;0
lidar;20;7;5
interdisciplinar;5;9;18
distância;21;9;1
concreto;9;8;6
competência;15;6;10
apresentado;2;4;24
aliar;23;1;0
adequado;25;6;1
voltar;10;9;11
transtorno;12;2;1
superar;24;7;0
serviço;9;14;7
realizado;9;1;5
laboratório;8;8;15
início;15;10;6
interpretação;10;15;5
intelectual;1;20;2
influência;3;20;5
implicação;12;18;1
família;3;12;8
esfera;11;16;3
dinâmico;9;11;2
currículo;20;4;2
contato;15;9;6
constituir;9;14;8
conseguir;3;8;11
colaborativo;11;5;13
chamado;2;11;18
basear;6;7;16
avaliação;11;9;10
algo;16;5;2
alcançar;21;5;4
série;17;11;2
personagem;0;15;5
maria;3;7;3
lei;7;17;4
inserção;2;14;6
iniciativa;2;10;17
historiador;4;9;17
exigir;15;10;3
etapa;5;2;20
digitalização;3;4;19
demanda;14;11;5
cidadão;24;3;3
cidadania;10;15;0
central;5;21;3
atualidade;16;4;10
alves;1;1;2
adolescente;18;6;4
acordo;14;6;10
xxi;22;7;0
usado;5;10;12
torno;1;19;8
temático;2;7;19
solução;10;10;5
registro;1;11;16
referir;6;9;14
página;1;3;11
procedimento;2;2;22
potencialidade;17;7;4
planejamento;22;5;2
passado;9;16;3
noção;1;22;5
liberdade;3;19;0
impactar;17;12;0
fase;1;7;4
estudar;5;15;9
emergir;12;6;3
crescente;11;13;2
continuar;24;3;2
atenção;11;13;5
alternativa;5;2;6
vivenciar;12;8;0
resposta;5;16;6
promoção;21;2;4
presença;4;12;12
observação;9;7;10
narrativa;1;16;8
múltiplo;14;11;3
mercado;7;16;4
leitor;11;9;6
intitular;3;1;8
frente;14;9;4
examinar;8;8;10
especial;7;14;7
emergente;7;7;14
embora;9;16;3
edição;1;4;18
audiovisual;2;6;17
unidade;3;2;6
suporte;10;9;6
segurança;12;11;4
referente;14;5;8
pessoal;4;16;5
percurso;4;7;14
oral;1;7;14
of;0;6;15
notícia;1;15;8
motivação;20;4;2
modalidade;17;7;3
linha;1;17;8
identidade;1;18;5
gestor;22;2;2
geração;8;10;6
execução;19;5;2
evento;2;14;9
estadual;10;0;16
design;12;10;3
crise;10;16;1
colaboração;11;4;10
abrir;2;17;7
rio;3;13;8
responsável;5;20;1
responsabilidade;12;12;2
religioso;1;18;4
pertinente;3;6;2
padrão;0;16;6
obtido;2;1;20
mundial;6;16;3
medida;8;14;3
mediação;7;7;4
matéria;12;5;1
luz;2;16;5
legislação;6;13;7
geografia;12;3;3
expressão;1;18;6
exposição;1;13;11
estágio;18;2;4
especificidade;9;7;10
empírico;6;8;11
elaboração;9;5;12
dispositivo;7;14;4
dinâmica;13;7;6
desigualdade;16;6;2
desempenho;13;4;0
dano;3;8;8
cuidado;17;7;0
criativo;13;8;5
conduzir;4;3;4
atuar;15;7;4
assumir;16;6;2
apresentação;9;6;11
antes;2;13;2
alfabetização;12;12;1
época;0;18;7
visual;3;16;6
tendência;7;12;6
sobretudo;4;16;4
seguinte;9;11;5
pequeno;0;12;3
municipal;7;3;4
mapa;0;4;18
local;1;20;3
imigrante;8;1;0
financeiro;7;8;4
filosofia;1;20;2
fenômeno;7;16;2
favorecer;13;11;1
fake_news;0;17;3
eficiente;16;5;3
disseminação;5;14;6
consequência;11;11;3
compartilhamento;3;19;2
apoio;7;12;6
adoção;10;5;1
técnico;7;10;6
ressaltar;21;3;0
referencial;1;6;15
quantidade;1;17;4
preparação;21;0;3
plano;14;4;4
pesquisar;12;3;9
mediar;13;10;1
marketing;1;13;6
lustosa;8;0;0
junto;16;4;4
instituto;4;5;9
infra-estrutura;17;3;2
individual;19;5;0
homem;1;20;3
gama;12;2;2
ficar;11;10;1
existente;3;10;11
então;4;12;8
dossiê;2;5;15
domínio;5;4;13
despertar;14;2;0
descobrir;9;6;1
controlo;6;14;3
consistir;2;6;16
caracterizar;2;11;10
animal;4;13;4
ana;2;4;2
abranger;6;9;9
unesco;1;3;2
tópico;8;8;6
tdic;18;0;3
tarefa;14;7;2
rocha;1;3;3
risco;5;8;8
recente;6;15;2
real;5;10;6
propiciar;18;2;3
popular;1;18;2
pedagogia;10;7;6
paciente;17;1;3
moderno;12;6;5
localizar;1;13;8
letra;16;4;3
jogador;2;17;0
interessante;1;3;3
fluxo;1;5;8
familiar;13;9;1
et;12;3;4
enriquecer;15;3;4
engajamento;19;1;3
empresa;0;18;2
educar;20;2;1
documentação;0;1;22
definir;2;10;10
data;1;2;16
comprovar;13;8;2
comportamento;11;10;2
complexo;6;15;2
colaborar;8;8;7
capacitar;22;0;1
borges;8;1;6
baseado;6;7;10
ampliação;6;11;5
voz;1;15;6
unido;0;17;4
retratar;9;7;6
regime;0;14;4
problemático;7;5;2
participante;10;2;9
motivo;9;3;1
lógica;3;16;3
interativo;15;6;1
intenção;14;5;2
indígena;1;10;7
evidência;10;1;9
emergência;9;10;3
discursivo;0;13;7
direcionar;15;2;5
crime;5;7;6
coronavírus;12;6;3
consumo;2;18;0
conhecido;1;17;4
complexidade;5;11;6
capacidade;8;9;4
bibliografia;1;16;5
aplicado;4;1;16
al;12;2;5
adaptar;17;4;1
acreditar;18;3;1
acercar;2;8;12
urgente;5;7;1
universo;2;7;2
universitário;6;1;13
só;14;5;2
sonho;10;7;0
sempre;10;4;7
rápido;6;11;4
resultar;7;12;1
regular;9;3;0
referido;6;8;7
recuperação;3;5;13
paradigma;5;13;3
pandêmico;17;2;2
organizar;2;7;12
opinião;1;15;5
natural;5;7;7
município;8;9;2
mecanismo;4;14;3
escopo;0;6;14
eficácia;13;3;5
doutorado;1;1;18
doença;12;8;0
disponibilizar;3;3;11
destinar;13;5;3
destaque;4;17;0
corpo;3;13;5
associar;3;13;3
associado;13;6;2
artístico;0;10;10
argumento;2;7;11
anterior;1;10;2
acompanhar;5;9;7
acessível;11;7;2
turma;16;1;3
sugerir;8;4;8
seguida;2;4;6
scielo;0;1;16
prevenção;11;7;2
predeterminado;0;6;6
origem;1;12;7
motivar;13;2;4
latino;1;14;5
justiça;2;11;3
jornal;0;14;6
introdução;6;13;1
interagir;13;7;0
ii;10;4;5
idoso;5;6;6
fotografia;0;7;10
filme;0;17;3
exploração;1;8;10
exercício;8;12;0
escolha;2;7;10
crescimento;2;12;4
continuidade;10;7;3
conter;5;6;9
configurar;4;12;4
conexão;4;4;11
computador;7;8;5
branco;0;15;0
analítico;4;5;11
alto;3;10;3
aliado;16;3;1
ético;6;13;0
volume;1;4;11
via;4;10;4
valorização;11;7;1
urbano;0;5;12
tics;9;8;1
the;1;6;10
território;3;8;7
terra;7;8;2
tentativa;5;11;3
significado;2;5;4
resistência;8;10;0
reflexivo;15;4;0
questionar;4;14;1
questionamento;12;5;2
quantitativo;0;0;18
problematizar;2;9;8
parceria;6;1;4
mobilizar;3;13;3
legal;2;10;5
intervenção;11;1;7
gráfico;0;7;10
geográfico;3;9;6
formar;6;7;6
finalidade;11;4;4
estrangeiro;11;1;4
epistemologia;1;8;9
ead;13;1;1
diversidade;5;8;6
diferença;1;15;3
democrático;2;16;0
defender;2;10;6
critério;4;4;10
contemplar;4;4;11
consequentemente;11;8;0
atualmente;3;12;4
américa;0;10;6
americano;1;13;5
afirmar;13;4;2
ética;5;11;2
xx;1;17;0
vídeo;10;5;3
reunir;2;4;12
recorte;1;11;6
proteção;6;10;1
pilar;12;3;3
participativo;9;5;3
mente;9;1;0
manifestação;0;14;4
influenciar;9;8;1
híbrido;14;2;2
freire;6;2;8
fomentar;8;9;1
expansão;10;5;3
epistemológico;2;8;8
diário;10;1;7
difusão;6;2;10
decorrente;4;14;0
cumprir;2;10;2
consciente;3;14;0
conflito;1;12;1
componente;3;2;5
aumentar;8;3;7
artista;1;11;5
tão;4;4;0
trabalhador;1;11;4
tese;1;1;15
tanger;6;6;4
sustentável;7;7;1
setor;7;6;4
seleção;0;3;14
relativo;1;7;9
relatar;7;0;10
registrar;1;9;6
reconhecer;4;8;5
produtivo;2;5;10
preparar;16;1;0
orientação;4;3;8
operar;9;7;1
multimídia;14;2;0
moral;2;14;0
marco;2;11;4
ler;3;8;6
josé;1;3;3
jornada;3;4;2
janeiro;2;11;3
inúmero;14;2;1
implementar;14;1;2
gamificação;17;0;0
funcionar;12;4;1
força;1;14;2
forte;1;4;4
fortalecer;10;7;0
exclusão;2;6;1
espécie;2;11;2
emprego;3;5;1
decisão;3;10;3
crucial;9;6;2
criatividade;6;2;1
consumidor;0;15;0
claro;10;4;3
caber;12;3;2
biblioteconomia;3;1;13
baixo;7;8;1
auxílio;11;0;6
ator;6;9;2
apreender;8;0;1
andreia;9;0;0
ancoragem;17;0;0
alternativo;3;5;5
agora;4;11;2
vincular;1;6;8
vilão;8;0;0
valer;2;3;10
surgimento;1;9;5
sociocultural;2;12;1
sistemático;3;2;11
prova;1;2;3
profundo;4;11;1
objetivação;16;0;0
negro;2;11;2
moço;8;0;0
monitoramento;6;1;9
licenciatura;14;1;1
lado;2;11;3
incorporar;10;5;1
imposto;6;2;0
implicar;4;9;3
ganhar;1;10;5
fundamentar;5;5;6
focar;6;2;8
figura;1;11;3
estrutural;3;10;3
esperar;8;6;2
escrito;0;4;12
divulgar;3;2;11
distanciamento;14;2;0
desinformação;1;13;1
desempenhar;8;7;0
descrição;1;1;14
definição;0;6;10
convidar;1;1;6
contemporaneidade;5;9;2
carvalho;2;0;4
capacitação;15;1;0
atualização;7;6;2
antigo;0;7;9
adotado;10;2;4
xix;0;14;0
visualização;1;0;11
viabilizar;14;1;0
título;1;7;7
troca;7;7;1
tratado;10;3;2
sujeitar;0;14;1
santana;3;2;2
reforçar;3;1;3
reflexo;2;8;5
reconhecimento;2;6;7
racial;3;10;2
provocar;5;8;1
propósito;6;6;3
preciso;3;6;6
potencializar;9;6;0
ponte;1;6;0
planeta;3;10;0
pautar;3;5;7
particular;1;9;4
panorama;0;5;10
norteador;10;4;1
mão;9;3;3
mapear;2;2;9
mapeamento;0;0;14
logo;10;3;2
investimento;11;4;0
interface;1;5;8
identificado;3;7;4
hipótese;5;3;5
herança;1;10;2
guerra;1;7;4
extensão;4;3;8
explicar;1;6;8
executar;1;5;1
equitativo;6;1;0
entendimento;5;4;6
efetivo;7;3;5
discordar;5;4;6
digitalizar;1;5;9
determinar;8;2;5
determinado;0;11;4
coleção;4;1;10
chegar;3;6;5
campus;4;0;4
