de;1366;1439;1126
a;1190;1263;887
em;1076;1110;855
o;1060;1019;753
que;731;751;463
para;643;453;392
ser;496;533;359
como;437;493;371
por;365;466;332
uma;403;400;346
com;379;368;304
se;357;428;273
um;309;340;262
sobre;212;262;185
ir;215;171;248
ao;191;184;102
sua;145;185;115
ter;176;131;101
este;151;150;111
mais;137;143;102
poder;188;138;64
trabalho;100;120;130
entre;65;154;110
não;100;157;50
seu;94;152;80
fazer;69;94;65
estar;80;82;49
outro;57;78;52
essa;95;66;32
qual;72;65;40
esse;52;70;45
todo;99;47;30
parte;27;48;47
fim;37;43;40
haver;52;44;25
ele;34;48;17
tal;33;54;33
tanto;33;48;36
tempo;33;54;19
esta;26;39;44
estado;21;50;30
primeiro;15;39;30
quanto;30;30;26
19;52;20;13
dois;11;36;46
2020;21;32;24
cada;33;39;19
desde;16;38;24
isso;20;36;20
saber;44;23;13
durante;43;25;10
apontar;31;29;13
algum;20;31;16
nossa;20;21;17
alguma;23;30;12
sem;17;32;12
segundo;9;30;14
ela;11;19;15
ver;10;20;11
tipo;10;29;15
após;13;23;16
1;7;18;15
último;17;16;16
nosso;19;22;8
2013;4;3;10
você;33;6;1
2018;4;12;21
sob;6;21;17
três;7;21;16
valor;15;18;6
2;12;16;10
2019;3;10;15
1980;16;6;10
apesar;20;13;6
2021;11;10;12
maioria;17;9;9
caminho;11;19;5
dizer;14;8;10
aquele;16;11;6
2015;7;8;15
2009;6;2;13
2001;0;3;5
pouco;14;9;4
2017;3;10;18
s;10;11;4
2008;4;2;5
trabalhar;7;13;8
2016;5;10;9
2010;2;4;5
usar;5;7;13
2003;1;5;5
vário;7;12;5
si;2;18;3
quatro;1;6;10
2014;1;3;9
qualquer;5;11;6
povo;4;15;1
muita;2;12;7
contra;2;17;1
2012;7;2;9
p;4;8;2
ambos;2;11;7
2007;1;2;16
2006;5;6;7
10;3;4;7
cujo;3;6;10
5;5;5;5
n;4;4;7
iniciar;1;11;6
i;7;7;4
3;2;11;4
2023;6;6;4
somente;1;6;10
isto;1;5;3
cuja;4;7;6
2002;3;0;5
2004;11;3;2
4;1;5;8
2022;5;5;5
2011;3;4;5
tentar;0;10;4
1988;1;9;2
mil;0;3;2
mediante;10;1;1
terceiro;1;5;5
me;1;3;5
lhe;9;1;1
consigo;1;1;1
80;8;3;0
1995;0;3;0
quem;2;6;1
cinco;0;1;8
9;4;1;4
8;2;4;3
6;3;2;4
2005;0;6;3
1998;3;5;1
11;2;3;4
0;0;3;1
pegar;8;0;0
minha;3;3;2
hem;0;0;6
décimo;8;0;0
dez;0;3;5
d;1;4;3
aquilo;1;4;3
50;0;0;5
30;0;2;6
x;0;5;1
nós;3;3;1
g;0;4;0
2024;3;0;4
2000;2;0;5
vinte;2;0;4
l;0;1;2
b;2;0;4
aquela;2;3;1
7;4;0;2
32;1;3;2
1990;0;1;5
1970;0;5;1
1964;0;6;0
18;1;1;3
12;1;3;2
03;0;3;2
verdadeiro;3;2;0
verdade;0;4;1
v;0;3;2
nome;0;3;2
nenhum;0;4;1
meu;0;2;3
in;1;1;3
64;0;1;4
26;1;0;4
21;0;4;1
20;1;1;3
1999;0;3;1
1977;0;1;3
16;0;2;3
120;0;1;4
100;1;1;1
y;0;0;3
r;0;1;2
m;0;0;3
cima;1;2;1
92;0;0;4
639;0;4;0
60;0;1;2
52;0;2;2
42;1;0;3
40;0;0;3
22;1;1;2
1997;0;2;1
1996;1;1;2
1985;0;4;0
1982;1;2;1
1960;0;1;3
1896;0;4;0
000;0;0;3
ó;1;2;0
sete;0;1;2
seis;1;2;0
ninguém;1;2;0
c;1;1;1
ante;0;2;1
69;1;2;0
48;0;1;2
33;1;0;2
27;0;0;3
24;3;0;0
1983;0;2;1
1930;0;1;2
1918;0;2;1
15;1;0;2
13;2;0;1
108;0;1;2